host_is_superhost,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,price,review_scores_rating,reviews_per_month
1,2,East Harlem,Manhattan,40.79147,-73.94629,Entire rental unit,Entire home/apt,2,1.0,1,100,4.9,0.97
0,1,Harlem,Manhattan,40.80413,-73.95756,Entire rental unit,Entire home/apt,2,1.0,2,79,4.12,0.72
0,2,Lower East Side,Manhattan,40.71887,-73.9864,Entire rental unit,Entire home/apt,3,1.0,1,180,4.88,0.18
0,1,South Slope,Brooklyn,40.66386,-73.98519,Entire loft,Entire home/apt,5,2.0,3,300,4.92,0.58
0,1,Midtown,Manhattan,40.75408,-73.97071,Entire condominium (condo),Entire home/apt,2,1.0,1,160,4.69,1.43
0,1,Lower East Side,Manhattan,40.72113,-73.98442,Entire rental unit,Entire home/apt,3,1.0,1,150,4.68,1.0
0,3,Williamsburg,Brooklyn,40.71732,-73.95561,Entire residential home,Entire home/apt,1,1.0,1,160,4.78,1.78
0,1,Greenwich Village,Manhattan,40.73268,-73.99213,Entire loft,Entire home/apt,2,1.0,1,275,0.0,0.0
0,1,Ditmars Steinway,Queens,40.77539,-73.91709,Entire guesthouse,Entire home/apt,1,1.0,1,78,4.86,1.46
0,1,Gramercy,Manhattan,40.73685,-73.9828,Entire rental unit,Entire home/apt,3,1.0,1,295,0.0,0.0
0,1,Prospect-Lefferts Gardens,Brooklyn,40.66278,-73.95886,Entire rental unit,Entire home/apt,2,1.0,1,65,5.0,0.13
1,0,East Village,Manhattan,40.73193,-73.98510999999999,Entire rental unit,Entire home/apt,4,1.0,2,340,4.68,0.41
1,1,Williamsburg,Brooklyn,40.706520000000005,-73.93991,Entire rental unit,Entire home/apt,5,1.0,1,146,4.63,0.78
0,1,Bedford-Stuyvesant,Brooklyn,40.68921,-73.95439,Entire rental unit,Entire home/apt,4,1.0,1,125,4.62,2.3
0,1,Gramercy,Manhattan,40.73693,-73.98129,Entire rental unit,Entire home/apt,2,1.0,1,139,4.25,0.06
0,27,Greenpoint,Brooklyn,40.73756,-73.9535,Entire rental unit,Entire home/apt,4,1.0,1,279,4.74,0.31
